site,date,month_day,species,caste,plant,invasive_interaction,proportion_invasive
pacific_spirit,05/06/2022,05-06,bom_fla,q,rub_spe,0,0.691891892
pacific_spirit,05/06/2022,05-06,bom_fla,q,rub_spe,0,0.691891892
pacific_spirit,05/06/2022,05-06,bom_fla,w,rub_spe,0,0.691891892
pacific_spirit,05/06/2022,05-06,bom_fla,w,rub_spe,0,0.691891892
pacific_spirit,05/06/2022,05-06,bom_fla,q,rub_spe,0,0.691891892
pacific_spirit,05/06/2022,05-06,bom_fla,w,rub_spe,0,0.691891892
iona_beach,05/10/2022,05-10,bom_imp,q,lam_pur,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mel,q,cys_sco,0,0.150779453
iona_beach,05/10/2022,05-10,bom_imp,q,lab_ana,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mel,,lab_ana,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mel,,lab_ana,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mel,,cys_sco,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mel,,cys_sco,0,0.150779453
iona_beach,05/10/2022,05-10,bom_mix,,lam_pur,0,0.150779453
iona_beach,05/10/2022,05-10,bom_imp,q,lam_pur,0,0.150779453
iona_beach,05/10/2022,05-10,bom_imp,w,lam_pur,0,0.150779453
pacific_spirit,05/16/2022,05-16,bom_vos,q,lam_gal,1,0.357142857
pacific_spirit,05/16/2022,05-16,bom_sit,q,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,q,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,q,lam_gal,1,0.357142857
pacific_spirit,05/16/2022,05-16,bom_mix,q,lam_gal,1,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,w,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,w,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_sit,q,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,q,rub_spe,0,0.357142857
pacific_spirit,05/16/2022,05-16,bom_fla,q,rub_spe,0,0.357142857
boundary_bay,05/19/2022,05-19,bom_vos,w,cap_bur,0,0
boundary_bay,05/19/2022,05-19,bom_mix,w,cap_bur,0,0
boundary_bay,05/19/2022,05-19,bom_mix,w,ero_cic,0,0
boundary_bay,05/19/2022,05-19,bom_fla,q,vic_sat,0,0
boundary_bay,05/19/2022,05-19,bom_imp,w,cra_mon,0,0
boundary_bay,05/19/2022,05-19,bom_mix,w,cra_mon,0,0
boundary_bay,05/19/2022,05-19,bom_mel,w,cra_mon,0,0
boundary_bay,05/19/2022,05-19,bom_imp,q,cra_mon,0,0
boundary_bay,05/19/2022,05-19,bom_mix,w,ger_mol,0,0
boundary_bay,05/19/2022,05-19,bom_fla,q,vic_sat,0,0
boundary_bay,05/19/2022,05-19,bom_mix,q,vic_sat,0,0
boundary_bay,05/19/2022,05-19,bom_fla,w,vic_sat,0,0
boundary_bay,05/19/2022,05-19,bom_fla,w,vic_sat,0,0
burnaby_lake,05/20/2022,05-20,bom_fla,w,rub_spe,0,0
burnaby_lake,05/20/2022,05-20,bom_mel,w,sor_sit,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,sor_sit,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,sor_sit,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,rub_spe,0,0
burnaby_lake,05/20/2022,05-20,bom_fla,w,rub_urs,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,rub_urs,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,rub_spe,0,0
burnaby_lake,05/20/2022,05-20,bom_fla,w,rub_spe,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,ace_cir,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,ace_cir,0,0
burnaby_lake,05/20/2022,05-20,bom_fla,w,rub_spe,0,0
burnaby_lake,05/20/2022,05-20,bom_mix,w,rub_spe,0,0
iona_beach,05/21/2022,05-21,bom_mel,w,lab_ana,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mel,w,lab_ana,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mel,w,lab_ana,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mel,w,lab_ana,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mix,w,lab_ana,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mel,w,cys_sco,0,0.602509079
iona_beach,05/21/2022,05-21,bom_mel,w,cys_sco,0,0.602509079
tynehead,05/23/2022,05-23,bom_fla,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mix,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mix,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mel,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mel,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mix,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mix,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_fla,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_mel,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_fla,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_fla,m,rub_spe,0,0
tynehead,05/23/2022,05-23,bom_fla,w,rub_spe,0,0
tynehead,05/23/2022,05-23,bom_fla,w,mal_dom,0,0
tynehead,05/23/2022,05-23,bom_fla,w,rub_spe,0,0
tynehead,05/23/2022,05-23,bom_fla,w,rub_spe,0,0
