site,date,year,month_day,code,species,caste,plant,notes
pacific_spirit,2022-05-06,2022,06-May,1105060001,bom_fla,q,rub_spe,
pacific_spirit,2022-05-06,2022,06-May,1105060002,bom_fla,q,rub_spe,
pacific_spirit,2022-05-06,2022,06-May,1105060003,bom_fla,w,rub_spe,
pacific_spirit,2022-05-06,2022,06-May,1105060004,bom_fla,w,rub_spe,
pacific_spirit,2022-05-06,2022,06-May,1105060005,bom_fla,q,rub_spe,
pacific_spirit,2022-05-06,2022,06-May,1105060006,bom_fla,w,rub_spe,
iona_beach,2022-05-10,2022,10-May,1205100020,bom_imp,q,lam_pur,
iona_beach,2022-05-10,2022,10-May,1205100021,bom_mel,q,cys_sco,
iona_beach,2022-05-10,2022,10-May,1205100022,bom_imp,q,lab_ana,
iona_beach,2022-05-10,2022,10-May,1205100023,bom_mel,,lab_ana,unrecorded caste
iona_beach,2022-05-10,2022,10-May,1205100024,bom_mel,,lab_ana,unrecorded caste
iona_beach,2022-05-10,2022,10-May,1205100025,bom_mel,,cys_sco,unrecorded caste
iona_beach,2022-05-10,2022,10-May,1205100026,bom_mel,,cys_sco,unrecorded caste
iona_beach,2022-05-10,2022,10-May,1205100027,bom_mix,,lam_pur,unrecorded caste
iona_beach,2022-05-10,2022,10-May,1205100028,bom_imp,q,lam_pur,
iona_beach,2022-05-10,2022,10-May,1205100029,bom_imp,w,lam_pur,
pacific_spirit,2022-05-16,2022,16-May,1105160001,bom_vos,q,lam_gal,
pacific_spirit,2022-05-16,2022,16-May,1105160002,bom_sit,q,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105060003,bom_fla,q,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105160004,bom_fla,q,lam_gal,
pacific_spirit,2022-05-16,2022,16-May,1105160005,bom_mix,q,lam_gal,
pacific_spirit,2022-05-16,2022,16-May,1105160006,bom_fla,w,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105160007,bom_fla,w,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105160008,bom_sit,q,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105160009,bom_fla,q,rub_spe,
pacific_spirit,2022-05-16,2022,16-May,1105160010,bom_fla,q,rub_spe,
boundary_bay,2022-05-19,2022,19-May,1305190001,bom_vos,w,cap_bur,
boundary_bay,2022-05-19,2022,19-May,1305190002,bom_mix,w,cap_bur,
boundary_bay,2022-05-19,2022,19-May,1305190003,bom_mix,w,ero_cic,
boundary_bay,2022-05-19,2022,19-May,1305190004,bom_fla,q,vic_sat,
boundary_bay,2022-05-19,2022,19-May,1305190005,bom_imp,w,cra_mon,
boundary_bay,2022-05-19,2022,19-May,1305190006,bom_mix,w,cra_mon,
boundary_bay,2022-05-19,2022,19-May,1305190007,bom_mel,w,cra_mon,
boundary_bay,2022-05-19,2022,19-May,1305190008,bom_imp,q,cra_mon,
boundary_bay,2022-05-19,2022,19-May,1305190009,bom_mix,w,ger_mol,
boundary_bay,2022-05-19,2022,19-May,1305190010,bom_fla,q,vic_sat,
boundary_bay,2022-05-19,2022,19-May,1305190011,bom_mix,q,vic_sat,
boundary_bay,2022-05-19,2022,19-May,1305190012,bom_fla,w,vic_sat,
boundary_bay,2022-05-19,2022,19-May,1305190013,bom_fla,w,vic_sat,
burnaby_lake,2022-05-20,2022,20-May,1905200002,bom_fla,w,rub_spe,
burnaby_lake,2022-05-20,2022,20-May,1905200003,bom_mel,w,sor_sit,
burnaby_lake,2022-05-20,2022,20-May,1905200005,bom_mix,w,sor_sit,
burnaby_lake,2022-05-20,2022,20-May,1905200006,bom_mix,w,sor_sit,
burnaby_lake,2022-05-20,2022,20-May,1905200007,bom_mix,w,rub_spe,
burnaby_lake,2022-05-20,2022,20-May,1905200008,bom_fla,w,rub_urs,
burnaby_lake,2022-05-20,2022,20-May,1905200009,bom_mix,w,rub_urs,
burnaby_lake,2022-05-20,2022,20-May,1905200010,bom_mix,w,rub_spe,
burnaby_lake,2022-05-20,2022,20-May,1905200011,bom_fla,w,rub_spe,
burnaby_lake,2022-05-20,2022,20-May,1905200013,bom_mix,w,ace_cir,
burnaby_lake,2022-05-20,2022,20-May,1905200014,bom_mix,w,ace_cir,
burnaby_lake,2022-05-20,2022,20-May,1905200015,bom_fla,w,rub_spe,
burnaby_lake,2022-05-20,2022,20-May,1905200017,bom_mix,w,rub_spe,
iona_beach,2022-05-21,2022,21-May,1205210001,bom_mel,w,lab_ana,
iona_beach,2022-05-21,2022,21-May,1205210002,bom_mel,w,lab_ana,
iona_beach,2022-05-21,2022,21-May,1205210003,bom_mel,w,lab_ana,
iona_beach,2022-05-21,2022,21-May,1205210004,bom_mel,w,lab_ana,
iona_beach,2022-05-21,2022,21-May,1205210005,bom_mix,w,lab_ana,
iona_beach,2022-05-21,2022,21-May,1205210012,bom_mel,w,cys_sco,
iona_beach,2022-05-21,2022,21-May,1205210013,bom_mel,w,cys_sco,
tynehead,2022-05-23,2022,23-May,1505230001,bom_fla,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230002,bom_mix,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230003,bom_mix,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230004,bom_mel,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230005,bom_mel,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230006,bom_mix,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230007,bom_mix,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230008,bom_fla,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230009,bom_mel,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230010,bom_fla,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230011,bom_fla,m,rub_spe,
tynehead,2022-05-23,2022,23-May,1505230012,bom_fla,w,rub_spe,
tynehead,2022-05-23,2022,23-May,1505230013,bom_fla,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230014,bom_fla,w,rub_spe,
tynehead,2022-05-23,2022,23-May,1505230015,bom_fla,w,rub_spe,
tynehead,2022-05-23,2022,23-May,1505230016,bom_mix,w,mal_dom,
tynehead,2022-05-23,2022,23-May,1505230017,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250001,bom_mix,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250002,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250003,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250004,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250005,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250006,bom_mix,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250007,bom_mix,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250104,bom_mix,m,ace_cir,
colony_farm,2022-05-25,2022,25-May,1605250105,bom_mix,w,ace_cir,
colony_farm,2022-05-25,2022,25-May,1605250106,bom_mix,m,ace_cir,
colony_farm,2022-05-25,2022,25-May,1605250107,bom_mix,m,ace_cir,
colony_farm,2022-05-25,2022,25-May,1605250108,bom_mix,m,ace_cir,
colony_farm,2022-05-25,2022,25-May,1605250109,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250110,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250111,bom_fla,w,rub_spe,
colony_farm,2022-05-25,2022,25-May,1605250112,bom_fla,w,rub_spe,
burns_bog,2022-05-31,2022,31-May,1805310001,bom_mix,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310003,bom_mix,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310004,bom_fla,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310005,bom_mix,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310006,bom_mix,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310007,bom_mix,w,rub_par,
burns_bog,2022-05-31,2022,31-May,1805310017,bom_fla,w,lon_inv,
burns_bog,2022-05-31,2022,31-May,1805310018,bom_mix,m,lon_inv,
burns_bog,2022-05-31,2022,31-May,1805310019,bom_mix,w,lon_inv,
burns_bog,2022-05-31,2022,31-May,1895310020,bom_mel,w,cor_sto,
burns_bog,2022-05-31,2022,31-May,1805310021,bom_fla,w,lon_inv,
burns_bog,2022-05-31,2022,31-May,1805310022,bom_fla,w,lon_inv,
brae_island,2022-05-31,2022,31-May,1405310005,bom_mel,q,ros_nut,
brae_island,2022-05-31,2022,31-May,1405310008,bom_mix,q,ros_nut,
brae_island,2022-05-31,2022,31-May,1405310101,bom_fla,w,lon_inv,
brae_island,2022-05-31,2022,31-May,1405310102,bom_fla,m,lon_inv,
brae_island,2022-05-31,2022,31-May,1405310103,bom_fla,w,lon_inv,
brae_island,2022-05-31,2022,31-May,1405310104,bom_fla,w,lon_inv,
brae_island,2022-05-31,2022,31-May,1405310105,bom_fla,w,rub_spe,
brae_island,2022-05-31,2022,31-May,1405310108,bom_mix,w,ros_nut,
surrey_bend,2022-05-31,2022,31-May,1705310101,bom_mix,q,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310102,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310103,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310104,bom_fla,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310105,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310106,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310107,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310108,bom_mix,m,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310109,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310110,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310111,bom_imp,q,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310112,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310113,bom_vos,q,ran_rep,
surrey_bend,2022-05-31,2022,31-May,1705310114,bom_mel,w,ran_rep,
surrey_bend,2022-05-31,2022,31-May,1705310115,bom_mel,m,ran_rep,
surrey_bend,2022-05-31,2022,31-May,1705310116,bom_mix,m,rub_spe,
surrey_bend,2022-05-31,2022,31-May,1705310117,bom_fla,w,rub_spe,
surrey_bend,2022-05-31,2022,31-May,1705310118,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310119,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310120,bom_mix,w,ace_cir,
surrey_bend,2022-05-31,2022,31-May,1705310121,bom_mix,w,rub_spe,
surrey_bend,2022-05-31,2022,31-May,1705310122,bom_mel,w,ran_rep,
burnaby_lake,2022-06-02,2022,02-Jun,1906020001,bom_mix,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020004,bom_mix,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020005,bom_mix,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020006,bom_mel,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020007,bom_fla,m,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020008,bom_fla,w,rub_par,
burnaby_lake,2022-06-02,2022,02-Jun,1906020009,bom_mix,w,rub_par,
burnaby_lake,2022-06-02,2022,02-Jun,1906020010,bom_mix,w,rub_par,
burnaby_lake,2022-06-02,2022,02-Jun,1906020011,bom_mix,w,rub_par,
burnaby_lake,2022-06-02,2022,02-Jun,1906020012,bom_mix,m,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020013,bom_mix,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020014,bom_fla,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020016,bom_mel,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020018,bom_fla,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020019,bom_fla,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020020,bom_mel,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020021,bom_mix,w,rub_urs,
burnaby_lake,2022-06-02,2022,02-Jun,1906020025,bom_mix,m,fra_pur,
burnaby_lake,2022-06-02,2022,02-Jun,1906020026,bom_fla,m,fra_pur,
burnaby_lake,2022-06-02,2022,02-Jun,1906020027,bom_fla,w,rub_spe,
