,Site,Species
bb_bom_fla,Boundary,B_fla
bb_bom_imp,Boundary,B_imp
bb_bom_mel,Boundary,B_mel
bb_bom_mix,Boundary,B_mix
bb_bom_vos,Boundary,B_vos
bi_bom_fla,Brae,B_fla
bi_bom_imp,Brae,B_imp
bi_bom_mel,Brae,B_mel
bi_bom_mix,Brae,B_mix
bi_bom_vos,Brae,B_vos
bl_bom_fla,Burnaby,B_fla
bl_bom_imp,Burnaby,B_imp
bl_bom_mel,Burnaby,B_mel
bl_bom_mix,Burnaby,B_mix
bl_bom_vos,Burnaby,B_vos
bbg_bom_fla,Burns,B_fla
bbg_bom_imp,Burns,B_imp
bbg_bom_mel,Burns,B_mel
bbg_bom_mix,Burns,B_mix
bbg_bom_vos,Burns,B_vos
cf_bom_fla,Colony,B_fla
cf_bom_imp,Colony,B_imp
cf_bom_mel,Colony,B_mel
cf_bom_mix,Colony,B_mix
cf_bom_vos,Colony,B_vos
ib_bom_fla,Iona,B_fla
ib_bom_imp,Iona,B_imp
ib_bom_mel,Iona,B_mel
ib_bom_mix,Iona,B_mix
ib_bom_vos,Iona,B_vos
ps_bom_fla,Pacific,B_fla
ps_bom_imp,Pacific,B_imp
ps_bom_mel,Pacific,B_mel
ps_bom_mix,Pacific,B_mix
ps_bom_vos,Pacific,B_vos
sb_bom_fla,Surrey,B_fla
sb_bom_imp,Surrey,B_imp
sb_bom_mel,Surrey,B_mel
sb_bom_mix,Surrey,B_mix
sb_bom_vos,Surrey,B_vos
th_bom_fla,Tynehead,B_fla
th_bom_imp,Tynehead,B_imp
th_bom_mel,Tynehead,B_mel
th_bom_mix,Tynehead,B_mix
th_bom_vos,Tynehead,B_vos
